PK,O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Relatedness Tier,Index
301,11-3031.03,Investment Fund Managers,13-2051.00,Financial and Investment Analysts,Primary-Short,1
302,11-3031.03,Investment Fund Managers,13-2054.00,Financial Risk Specialists,Primary-Short,2
303,11-3031.03,Investment Fund Managers,13-2052.00,Personal Financial Advisors,Primary-Short,3
304,11-3031.03,Investment Fund Managers,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Short,4
305,11-3031.03,Investment Fund Managers,11-3031.00,Financial Managers,Primary-Short,5
306,11-3031.03,Investment Fund Managers,13-2099.01,Financial Quantitative Analysts,Primary-Long,6
307,11-3031.03,Investment Fund Managers,13-2041.00,Credit Analysts,Primary-Long,7
308,11-3031.03,Investment Fund Managers,13-2061.00,Financial Examiners,Primary-Long,8
309,11-3031.03,Investment Fund Managers,13-1111.00,Management Analysts,Primary-Long,9
310,11-3031.03,Investment Fund Managers,11-3031.01,Treasurers and Controllers,Primary-Long,10
311,11-3031.03,Investment Fund Managers,13-2011.00,Accountants and Auditors,Supplemental,11
312,11-3031.03,Investment Fund Managers,15-2051.01,Business Intelligence Analysts,Supplemental,12
313,11-3031.03,Investment Fund Managers,13-2072.00,Loan Officers,Supplemental,13
314,11-3031.03,Investment Fund Managers,13-2031.00,Budget Analysts,Supplemental,14
315,11-3031.03,Investment Fund Managers,19-3011.00,Economists,Supplemental,15
316,11-3031.03,Investment Fund Managers,15-2011.00,Actuaries,Supplemental,16
317,11-3031.03,Investment Fund Managers,43-4011.00,Brokerage Clerks,Supplemental,17
318,11-3031.03,Investment Fund Managers,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Supplemental,18
319,11-3031.03,Investment Fund Managers,13-1161.00,Market Research Analysts and Marketing Specialists,Supplemental,19
320,11-3031.03,Investment Fund Managers,11-1011.00,Chief Executives,Supplemental,20
321,11-3051.00,Industrial Production Managers,11-1021.00,General and Operations Managers,Primary-Short,1
322,11-3051.00,Industrial Production Managers,11-3051.01,Quality Control Systems Managers,Primary-Short,2
323,11-3051.00,Industrial Production Managers,11-3051.04,Biomass Power Plant Managers,Primary-Short,3
324,11-3051.00,Industrial Production Managers,11-3051.03,Biofuels Production Managers,Primary-Short,4
325,11-3051.00,Industrial Production Managers,11-3071.00,"Transportation, Storage, and Distribution Managers",Primary-Short,5
326,11-3051.00,Industrial Production Managers,11-3051.02,Geothermal Production Managers,Primary-Long,6
327,11-3051.00,Industrial Production Managers,11-3071.04,Supply Chain Managers,Primary-Long,7
328,11-3051.00,Industrial Production Managers,13-1082.00,Project Management Specialists,Primary-Long,8
329,11-3051.00,Industrial Production Managers,11-9021.00,Construction Managers,Primary-Long,9
330,11-3051.00,Industrial Production Managers,11-3051.06,Hydroelectric Production Managers,Primary-Long,10
331,11-3051.00,Industrial Production Managers,17-2112.00,Industrial Engineers,Supplemental,11
332,11-3051.00,Industrial Production Managers,17-2112.03,Manufacturing Engineers,Supplemental,12
333,11-3051.00,Industrial Production Managers,17-3026.00,Industrial Engineering Technologists and Technicians,Supplemental,13
334,11-3051.00,Industrial Production Managers,51-1011.00,First-Line Supervisors of Production and Operating Workers,Supplemental,14
335,11-3051.00,Industrial Production Managers,43-5061.00,"Production, Planning, and Expediting Clerks",Supplemental,15
336,11-3051.00,Industrial Production Managers,51-2092.00,Team Assemblers,Supplemental,16
337,11-3051.00,Industrial Production Managers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Supplemental,17
338,11-3051.00,Industrial Production Managers,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Supplemental,18
339,11-3051.00,Industrial Production Managers,17-2112.02,Validation Engineers,Supplemental,19
340,11-3051.00,Industrial Production Managers,13-1081.00,Logisticians,Supplemental,20
341,11-3051.01,Quality Control Systems Managers,19-4099.01,Quality Control Analysts,Primary-Short,1
342,11-3051.01,Quality Control Systems Managers,17-2112.02,Validation Engineers,Primary-Short,2
343,11-3051.01,Quality Control Systems Managers,17-2112.00,Industrial Engineers,Primary-Short,3
344,11-3051.01,Quality Control Systems Managers,11-3051.00,Industrial Production Managers,Primary-Short,4
345,11-3051.01,Quality Control Systems Managers,15-1253.00,Software Quality Assurance Analysts and Testers,Primary-Short,5
346,11-3051.01,Quality Control Systems Managers,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Primary-Long,6
347,11-3051.01,Quality Control Systems Managers,17-2112.03,Manufacturing Engineers,Primary-Long,7
348,11-3051.01,Quality Control Systems Managers,19-4031.00,Chemical Technicians,Primary-Long,8
349,11-3051.01,Quality Control Systems Managers,11-9199.01,Regulatory Affairs Managers,Primary-Long,9
350,11-3051.01,Quality Control Systems Managers,11-9199.02,Compliance Managers,Primary-Long,10
351,11-3051.01,Quality Control Systems Managers,17-3026.00,Industrial Engineering Technologists and Technicians,Supplemental,11
352,11-3051.01,Quality Control Systems Managers,17-3028.00,Calibration Technologists and Technicians,Supplemental,12
353,11-3051.01,Quality Control Systems Managers,19-2031.00,Chemists,Supplemental,13
354,11-3051.01,Quality Control Systems Managers,19-4013.00,Food Science Technicians,Supplemental,14
355,11-3051.01,Quality Control Systems Managers,13-1082.00,Project Management Specialists,Supplemental,15
356,11-3051.01,Quality Control Systems Managers,17-3025.00,Environmental Engineering Technologists and Technicians,Supplemental,16
357,11-3051.01,Quality Control Systems Managers,51-1011.00,First-Line Supervisors of Production and Operating Workers,Supplemental,17
358,11-3051.01,Quality Control Systems Managers,11-9121.00,Natural Sciences Managers,Supplemental,18
359,11-3051.01,Quality Control Systems Managers,13-1041.07,Regulatory Affairs Specialists,Supplemental,19
360,11-3051.01,Quality Control Systems Managers,15-1252.00,Software Developers,Supplemental,20
361,11-3051.02,Geothermal Production Managers,11-3051.06,Hydroelectric Production Managers,Primary-Short,1
362,11-3051.02,Geothermal Production Managers,11-3051.04,Biomass Power Plant Managers,Primary-Short,2
363,11-3051.02,Geothermal Production Managers,11-3051.03,Biofuels Production Managers,Primary-Short,3
364,11-3051.02,Geothermal Production Managers,51-8013.00,Power Plant Operators,Primary-Short,4
365,11-3051.02,Geothermal Production Managers,11-9199.09,Wind Energy Operations Managers,Primary-Short,5
366,11-3051.02,Geothermal Production Managers,17-2199.03,"Energy Engineers, Except Wind and Solar",Primary-Long,6
367,11-3051.02,Geothermal Production Managers,51-8031.00,Water and Wastewater Treatment Plant and System Operators,Primary-Long,7
368,11-3051.02,Geothermal Production Managers,51-8092.00,Gas Plant Operators,Primary-Long,8
369,11-3051.02,Geothermal Production Managers,11-3051.00,Industrial Production Managers,Primary-Long,9
370,11-3051.02,Geothermal Production Managers,11-3051.01,Quality Control Systems Managers,Primary-Long,10
371,11-3051.02,Geothermal Production Managers,49-9099.01,Geothermal Technicians,Supplemental,11
372,11-3051.02,Geothermal Production Managers,51-8013.04,Hydroelectric Plant Technicians,Supplemental,12
373,11-3051.02,Geothermal Production Managers,51-8013.03,Biomass Plant Technicians,Supplemental,13
374,11-3051.02,Geothermal Production Managers,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Supplemental,14
375,11-3051.02,Geothermal Production Managers,11-9199.10,Wind Energy Development Managers,Supplemental,15
376,11-3051.02,Geothermal Production Managers,51-8099.01,Biofuels Processing Technicians,Supplemental,16
377,11-3051.02,Geothermal Production Managers,17-2051.02,Water/Wastewater Engineers,Supplemental,17
378,11-3051.02,Geothermal Production Managers,17-2171.00,Petroleum Engineers,Supplemental,18
379,11-3051.02,Geothermal Production Managers,17-2199.10,Wind Energy Engineers,Supplemental,19
380,11-3051.02,Geothermal Production Managers,49-9081.00,Wind Turbine Service Technicians,Supplemental,20
381,11-3051.03,Biofuels Production Managers,51-8099.01,Biofuels Processing Technicians,Primary-Short,1
382,11-3051.03,Biofuels Production Managers,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Primary-Short,2
383,11-3051.03,Biofuels Production Managers,11-3051.04,Biomass Power Plant Managers,Primary-Short,3
384,11-3051.03,Biofuels Production Managers,11-3051.02,Geothermal Production Managers,Primary-Short,4
385,11-3051.03,Biofuels Production Managers,51-8013.03,Biomass Plant Technicians,Primary-Short,5
386,11-3051.03,Biofuels Production Managers,11-3051.06,Hydroelectric Production Managers,Primary-Long,6
387,11-3051.03,Biofuels Production Managers,51-8013.00,Power Plant Operators,Primary-Long,7
388,11-3051.03,Biofuels Production Managers,11-3051.00,Industrial Production Managers,Primary-Long,8
389,11-3051.03,Biofuels Production Managers,17-2041.00,Chemical Engineers,Primary-Long,9
390,11-3051.03,Biofuels Production Managers,17-2112.03,Manufacturing Engineers,Primary-Long,10
391,11-3051.03,Biofuels Production Managers,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Supplemental,11
392,11-3051.03,Biofuels Production Managers,51-8092.00,Gas Plant Operators,Supplemental,12
393,11-3051.03,Biofuels Production Managers,51-8091.00,Chemical Plant and System Operators,Supplemental,13
394,11-3051.03,Biofuels Production Managers,51-8013.04,Hydroelectric Plant Technicians,Supplemental,14
395,11-3051.03,Biofuels Production Managers,11-9199.10,Wind Energy Development Managers,Supplemental,15
396,11-3051.03,Biofuels Production Managers,51-8031.00,Water and Wastewater Treatment Plant and System Operators,Supplemental,16
397,11-3051.03,Biofuels Production Managers,17-2199.03,"Energy Engineers, Except Wind and Solar",Supplemental,17
398,11-3051.03,Biofuels Production Managers,11-9199.09,Wind Energy Operations Managers,Supplemental,18
399,11-3051.03,Biofuels Production Managers,17-2021.00,Agricultural Engineers,Supplemental,19
400,11-3051.03,Biofuels Production Managers,17-2112.00,Industrial Engineers,Supplemental,20
401,11-3051.04,Biomass Power Plant Managers,51-8013.03,Biomass Plant Technicians,Primary-Short,1
402,11-3051.04,Biomass Power Plant Managers,11-3051.02,Geothermal Production Managers,Primary-Short,2
403,11-3051.04,Biomass Power Plant Managers,11-3051.03,Biofuels Production Managers,Primary-Short,3
404,11-3051.04,Biomass Power Plant Managers,11-3051.06,Hydroelectric Production Managers,Primary-Short,4
405,11-3051.04,Biomass Power Plant Managers,51-8013.04,Hydroelectric Plant Technicians,Primary-Short,5
406,11-3051.04,Biomass Power Plant Managers,51-8099.01,Biofuels Processing Technicians,Primary-Long,6
407,11-3051.04,Biomass Power Plant Managers,49-9099.01,Geothermal Technicians,Primary-Long,7
408,11-3051.04,Biomass Power Plant Managers,51-8092.00,Gas Plant Operators,Primary-Long,8
409,11-3051.04,Biomass Power Plant Managers,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Primary-Long,9
410,11-3051.04,Biomass Power Plant Managers,11-3051.00,Industrial Production Managers,Primary-Long,10
411,11-3051.04,Biomass Power Plant Managers,51-8013.00,Power Plant Operators,Supplemental,11
412,11-3051.04,Biomass Power Plant Managers,17-2199.03,"Energy Engineers, Except Wind and Solar",Supplemental,12
413,11-3051.04,Biomass Power Plant Managers,51-8021.00,Stationary Engineers and Boiler Operators,Supplemental,13
414,11-3051.04,Biomass Power Plant Managers,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Supplemental,14
415,11-3051.04,Biomass Power Plant Managers,51-8031.00,Water and Wastewater Treatment Plant and System Operators,Supplemental,15
416,11-3051.04,Biomass Power Plant Managers,51-8012.00,Power Distributors and Dispatchers,Supplemental,16
417,11-3051.04,Biomass Power Plant Managers,11-9199.09,Wind Energy Operations Managers,Supplemental,17
418,11-3051.04,Biomass Power Plant Managers,51-8091.00,Chemical Plant and System Operators,Supplemental,18
419,11-3051.04,Biomass Power Plant Managers,49-9081.00,Wind Turbine Service Technicians,Supplemental,19
420,11-3051.04,Biomass Power Plant Managers,17-2112.00,Industrial Engineers,Supplemental,20
421,11-3051.06,Hydroelectric Production Managers,11-3051.02,Geothermal Production Managers,Primary-Short,1
422,11-3051.06,Hydroelectric Production Managers,11-3051.04,Biomass Power Plant Managers,Primary-Short,2
423,11-3051.06,Hydroelectric Production Managers,11-9199.09,Wind Energy Operations Managers,Primary-Short,3
424,11-3051.06,Hydroelectric Production Managers,11-3051.03,Biofuels Production Managers,Primary-Short,4
425,11-3051.06,Hydroelectric Production Managers,11-9199.10,Wind Energy Development Managers,Primary-Short,5
426,11-3051.06,Hydroelectric Production Managers,17-2199.10,Wind Energy Engineers,Primary-Long,6
427,11-3051.06,Hydroelectric Production Managers,49-9081.00,Wind Turbine Service Technicians,Primary-Long,7
428,11-3051.06,Hydroelectric Production Managers,17-2051.02,Water/Wastewater Engineers,Primary-Long,8
429,11-3051.06,Hydroelectric Production Managers,11-3051.00,Industrial Production Managers,Primary-Long,9
430,11-3051.06,Hydroelectric Production Managers,11-3051.01,Quality Control Systems Managers,Primary-Long,10
431,11-3051.06,Hydroelectric Production Managers,51-8013.04,Hydroelectric Plant Technicians,Supplemental,11
432,11-3051.06,Hydroelectric Production Managers,51-8013.00,Power Plant Operators,Supplemental,12
433,11-3051.06,Hydroelectric Production Managers,49-9099.01,Geothermal Technicians,Supplemental,13
434,11-3051.06,Hydroelectric Production Managers,17-2199.03,"Energy Engineers, Except Wind and Solar",Supplemental,14
435,11-3051.06,Hydroelectric Production Managers,51-8013.03,Biomass Plant Technicians,Supplemental,15
436,11-3051.06,Hydroelectric Production Managers,51-8012.00,Power Distributors and Dispatchers,Supplemental,16
437,11-3051.06,Hydroelectric Production Managers,51-8092.00,Gas Plant Operators,Supplemental,17
438,11-3051.06,Hydroelectric Production Managers,17-2199.11,Solar Energy Systems Engineers,Supplemental,18
